pl_name,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim
2MASS J19383260+4603591 b,Published Confirmed,0,416,2,-2,0,603.877,31.783,-31.783,0
2MASS J21402931+1625183 A b,Published Confirmed,0,7336.5,1934.5,-584,0,6657.48,26629.91,-6657.48,0
51 Peg b,Published Confirmed,0,4.231,,,0,146.2018,19.0698,-3.1783,0
55 Cnc b,Published Confirmed,0,14.6,,,0,254.25,,,0
55 Cnc b,Published Confirmed,0,14.465314,0.0009,-0.00095,0,266.966,41.634,-9.852,0
55 Cnc b,Published Confirmed,0,14.65152,0.00015,-0.00015,0,263.9785,1.0488,-1.0488,0
55 Cnc c,Published Confirmed,0,44.373,0.02,-0.018,0,56.6985,8.74,-2.479,0
55 Cnc c,Published Confirmed,0,44.4175,0.0073,-0.0073,0,54.4738,1.748,-1.748,0
55 Cnc d,Published Confirmed,0,4867,25,-26,0,1226.77,190.69,-47.67,0
55 Cnc d,Published Confirmed,0,4825,39,-39,0,1232.493,21.612,-21.612,0
55 Cnc e,Published Confirmed,0,0.737,,,0,7.74,0.37,-0.3,0
55 Cnc e,Published Confirmed,0,0.7365437,0.0000052,-0.0000052,0,7.81,0.58,-0.53,0
55 Cnc e,Published Confirmed,0,0.736546,0.000003,-0.000003,0,8.37,0.38,-0.38,0
55 Cnc e,Published Confirmed,0,0.7365515,0.0000015,-0.0000015,0,8.13928,0.23201,-0.23201,0
55 Cnc e,Published Confirmed,0,0.73654,0.000003,-0.000003,0,8.63,0.35,-0.35,0
55 Cnc e,Published Confirmed,0,0.7365474,0.0000013,-0.0000014,0,7.99,0.32,-0.33,0
55 Cnc e,Published Confirmed,0,0.7365478,0.0000016,-0.0000012,0,8.09479,0.26061,-0.25743,0
55 Cnc e,Published Confirmed,0,0.736539,0.000007,-0.000007,0,8.08,0.31,-0.31,0
55 Cnc f,Published Confirmed,0,260.91,0.36,-0.36,0,47.0051,6.9602,-2.9557,0
55 Cnc f,Published Confirmed,0,262,0.51,-0.51,0,44.812,3.814,-3.814,0
70 Vir b,Published Confirmed,0,116.6884,0.0044,-0.0044,0,2380.45,193.87,-193.87,0
AU Mic b,Published Confirmed,0,8.463,0.000002,-0.000002,0,17,5,-5,0
AU Mic c,Published Confirmed,0,18.859019,0.000016,-0.000016,0,13.6,11.4,-11.4,0
BD+20 594 b,Published Confirmed,0,41.6855,0.003,-0.0031,0,16.3,6,-6.1,0
BD+20 594 b,Published Confirmed,0,41.6855,0.003,-0.003,0,22.2481,9.5349,-9.5349,0
CFBDSIR J145829+101343 b,Published Confirmed,0,10037.5,2737.5,-2737.5,0,3337.1,1430.2,-1430.2,0
CFHTWIR-Oph 98 b,Published Confirmed,0,8040000,470000,-470000,0,2479.06157,222.47988,-254.26273,0
CI Tau b,Published Confirmed,0,8.9891,0.0202,-0.0202,0,3686.828,921.707,-858.141,0
COCONUTS-2 b,Published Confirmed,0,402000000,470000000,-100000000,0,2002.31896,476.74261,-603.87397,0
CoRoT-1 b,Published Confirmed,0,1.50897655,0.0000001,-0.0000001,0,340.0781,54.0311,-54.0311,0
CoRoT-1 b,Published Confirmed,0,1.5089557,,,0,359.1479,22.2481,-22.2481,0
CoRoT-1 b,Published Confirmed,0,1.5089686,0.0000006,-0.0000006,0,327.3649,31.783,-31.783,0
CoRoT-1 b,Published Confirmed,0,1.5089557,0.0000064,-0.0000064,0,327.35,38.14,-38.14,0
CoRoT-1 b,Published Confirmed,0,1.5089682,0.0000005,-0.0000005,0,390.9309,31.783,-31.783,0
CoRoT-10 b,Published Confirmed,0,13.2406,0.0002,-0.0002,0,874,50.85,-50.85,0
CoRoT-10 b,Published Confirmed,0,13.2406,0.0002,-0.0002,0,867.6759,44.4962,-44.4962,0
CoRoT-10 b,Published Confirmed,0,13.2406,0.0002,-0.0002,0,883.5674,47.6745,-47.6745,0
CoRoT-11 b,Published Confirmed,0,2.99433,0.000011,-0.000011,0,743.7222,123.9537,-123.9537,0
CoRoT-11 b,Published Confirmed,0,2.994325,0.000021,-0.000021,0,832.7146,187.5197,-197.0546,0
CoRoT-11 b,Published Confirmed,0,2.994325,0.000021,-0.000021,0,791.3967,85.8141,-85.8141,0
CoRoT-11 b,Published Confirmed,0,2.99433,0.000011,-0.000011,0,740.51,108.06,-108.06,0
CoRoT-12 b,Published Confirmed,0,2.82805268,0.00000065,-0.00000065,0,277.46559,25.74423,-24.79074,0
CoRoT-12 b,Published Confirmed,0,2.828042,0.000013,-0.000013,0,281.91521,25.10857,-25.10857,0
CoRoT-12 b,Published Confirmed,0,2.828042,0.000013,-0.000013,0,290.81445,22.56593,-21.93027,0
CoRoT-12 b,Published Confirmed,0,2.828042,0.000013,-0.000013,0,291.438,22.247,-20.658,0
CoRoT-13 b,Published Confirmed,0,4.03519,0.00003,-0.00003,0,416.99296,30.51168,-30.51168,0
CoRoT-13 b,Published Confirmed,0,4.03519,0.00003,-0.00003,0,415.704,20.976,-20.976,0
CoRoT-13 b,Published Confirmed,0,4.03519,0.00003,-0.00003,0,423.03173,23.20159,-23.20159,0
CoRoT-14 b,Published Confirmed,0,1.51214,0.00013,-0.00013,0,2437.7561,158.915,-158.915,0
CoRoT-14 b,Published Confirmed,0,1.51214,0.00013,-0.00013,0,2358.2986,149.3801,-149.3801,0
CoRoT-14 b,Published Confirmed,0,1.51214,0.00013,-0.00013,0,2415.4,190.7,-190.7,0
CoRoT-16 b,Published Confirmed,0,5.35227,0.0002,-0.0002,0,170.032,27.014,-26.379,0
CoRoT-16 b,Published Confirmed,0,5.35227,0.0002,-0.0002,0,168.13207,31.14734,-30.51168,0
CoRoT-17 b,Published Confirmed,0,3.7681,0.0003,-0.0003,0,781.8618,82.6358,-76.2792,0
CoRoT-17 b,Published Confirmed,0,3.7681,0.0003,-0.0003,0,765.9703,85.8141,-82.6358,0
CoRoT-17 b,Published Confirmed,0,3.7681,0.0003,-0.0003,0,772.29,95.34,-95.34,0
CoRoT-18 b,Published Confirmed,0,1.9000693,0.0000028,-0.0000028,0,1099.6918,120.7754,-120.7754,0
CoRoT-18 b,Published Confirmed,0,1.9000693,0.0000028,-0.0000028,0,1102.82,120.77,-120.77,0
CoRoT-18 b,Published Confirmed,0,1.9000693,0.0000028,-0.0000028,0,1039.3041,54.0311,-54.0311,0
CoRoT-18 b,Published Confirmed,0,1.90009,0.0000005,-0.0000005,0,1048.839,60.3877,-60.3877,0
CoRoT-19 b,Published Confirmed,0,3.89713,0.00002,-0.00002,0,367.09365,22.88376,-22.88376,0
CoRoT-19 b,Published Confirmed,0,3.89713,0.00002,-0.00002,0,352.78,19.07,-19.07,0
CoRoT-19 b,Published Confirmed,0,3.89713,0.00002,-0.00002,0,346.4347,29.55819,-24.79074,0
CoRoT-2 b,Published Confirmed,0,1.7429975,0.0000002,-0.0000002,0,1052.0173,50.8528,-50.8528,0
CoRoT-2 b,Published Confirmed,0,1.74299673,0.00000031,-0.00000031,0,1048.839,60.3877,-57.2094,0
CoRoT-2 b,Published Confirmed,0,1.7429935,0.000001,-0.000001,0,1150.5446,50.8528,-50.8528,0
CoRoT-2 b,Published Confirmed,0,1.7429935,0.000001,-0.000001,0,1102.82,69.92,-69.92,0
CoRoT-2 b,Published Confirmed,0,1.7429935,0.000001,-0.000001,0,1134.6531,50.8528,-50.8528,0
CoRoT-2 b,Published Confirmed,0,1.7429964,0.0000017,-0.0000017,0,1051.973,50.851,-50.851,0
CoRoT-20 b,Published Confirmed,0,9.24285,0.0003,-0.0003,0,1366.669,63.566,-63.566,0
CoRoT-20 b,Published Confirmed,0,9.24285,0.0003,-0.0003,0,1347.54,73.1,-73.1,0
CoRoT-20 b,Published Confirmed,0,9.24285,0.0003,-0.0003,0,1344.4209,82.6358,-79.4575,0
CoRoT-20 b,Published Confirmed,0,9.24318,0.000009,-0.000009,0,1315.8162,114.4188,-95.349,0
CoRoT-20 b,Published Confirmed,0,9.24285,0.0003,-0.0003,0,1608.2198,114.4188,-114.4188,0
CoRoT-21 b,Published Confirmed,0,2.72474,0.00014,-0.00014,0,705.5826,177.9848,-177.9848,0
CoRoT-21 b,Published Confirmed,0,2.72474,0.00014,-0.00014,0,718.2958,98.5273,-98.5273,0
CoRoT-22 b,Published Confirmed,0,9.75598,0.00011,-0.00011,0,12.2,14,-8.8,0
CoRoT-23 b,Published Confirmed,0,3.6313,0.0001,-0.0001,0,982.0947,104.8839,-104.8839,0
CoRoT-23 b,Published Confirmed,0,3.6313,0.0001,-0.0001,0,889.9,95.3,-95.3,0
CoRoT-23 b,Published Confirmed,0,3.6313,0.0001,-0.0001,0,972.5598,101.7056,-98.5273,0
CoRoT-24 b,Published Confirmed,0,5.1134,0.0006,-0.0006,0,5.7,,,1
CoRoT-24 c,Published Confirmed,0,11.759,0.0063,-0.0063,0,28,11,-11,0
CoRoT-25 b,Published Confirmed,0,4.86069,0.00006,-0.00006,0,93.12419,19.38763,-19.0698,0
CoRoT-25 b,Published Confirmed,0,4.86069,0.00006,-0.00006,0,85.81,12.71,-12.71,0
CoRoT-26 b,Published Confirmed,0,4.20474,0.00005,-0.00005,0,184.3414,63.566,-34.9613,0
CoRoT-26 b,Published Confirmed,0,4.20474,0.00005,-0.00005,0,165.26,15.89,-15.89,0
CoRoT-27 b,Published Confirmed,0,3.57532,0.00006,-0.00006,0,3273.649,257.4423,-263.7989,0
CoRoT-27 b,Published Confirmed,0,3.57532,0.00006,-0.00006,0,3302.11,174.8,-174.8,0
CoRoT-28 b,Published Confirmed,0,5.20851,0.00038,-0.00038,0,153.82972,27.65121,-27.65121,0
CoRoT-28 b,Published Confirmed,0,5.20851,0.00038,-0.00038,0,152.87623,17.79848,-17.79848,0
CoRoT-29 b,Published Confirmed,0,2.85057,0.000006,-0.000006,0,266.9772,41.3179,-38.1396,0
CoRoT-29 b,Published Confirmed,0,2.85057,0.000006,-0.000006,0,270.1555,63.566,-63.566,0
CoRoT-3 b,Published Confirmed,0,4.2567994,0.0000035,-0.0000035,0,6814.2752,305.1168,-308.2951,0
CoRoT-3 b,Published Confirmed,0,4.2568,0.000005,-0.000005,0,6883.91,317.8,-317.8,0
CoRoT-3 b,Published Confirmed,0,4.2567994,0.0000039,-0.0000031,0,6747.5309,260.6206,-187.5197,0
