pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
11 Com b,11 Com,2,1,0,326.03000000,0.32000000,-0.32000000,0,12.100,,,0,6165.60000,476.70000,-476.70000,0,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0
11 UMi b,11 UMi,1,1,0,516.21997000,3.20000000,-3.20000000,0,12.300,,,0,4684.81420,794.57500,-794.57500,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0
14 And b,14 And,1,1,0,185.84000000,0.23000000,-0.23000000,0,12.900,,,0,1525.50000,,,0,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0
14 Her b,14 Her,1,2,0,1765.03890112,1.67708897,-1.87256063,0,12.600,,,0,2586.74645,492.67126,-308.97002,0,0.93,0.01,-0.01,0,0.91,0.11,-0.11,0
16 Cyg B b,16 Cyg B,3,1,0,798.50000000,1.00000000,-1.00000000,0,13.500,,,0,565.73740,25.42640,-25.42640,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0
17 Sco b,17 Sco,1,1,0,578.38000000,2.01000000,-2.09000000,0,12.900,,,0,1373.01872,47.67426,-38.13941,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0
18 Del b,18 Del,2,1,0,993.30000000,3.20000000,-3.20000000,0,12.500,,,0,3273.50000,,,0,8.50,,,0,2.30,,,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,,,,,18.647,,,0,3000.00000,300.00000,-300.00000,0,1.31,0.18,-0.10,0,0.85,0.20,-0.10,0
24 Boo b,24 Boo,1,1,0,30.35060000,0.00780000,-0.00770000,0,13.900,,,0,289.22530,41.31790,-31.78300,0,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0
24 Sex b,24 Sex,1,2,0,452.80000000,2.10000000,-4.50000000,0,13.400,,,0,632.46000,82.63000,-120.77000,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0
24 Sex c,24 Sex,1,2,0,883.00000000,32.40000000,-13.80000000,0,13.900,,,0,273.32000,111.24000,-69.92000,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0
2M0437 b,2MASS J04372171+2651014,1,1,0,,,,,13.000,,,0,1271.31363,317.82841,-317.82841,0,0.84,0.11,-0.11,0,0.17,0.01,-0.02,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,,,,,12.300,,,0,4131.79000,317.83000,-317.83000,0,,,,,0.19,0.02,-0.02,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,,,,,11.209,,,0,7786.50000,794.50000,-794.50000,0,0.37,0.01,-0.01,0,0.40,0.05,-0.05,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,,,,,16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,,,,,12.600,,,0,2383.60000,794.50000,-794.50000,0,0.23,0.01,-0.01,0,0.02,,,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,,,,,12.900,,,0,1589.15000,635.66000,-635.66000,0,0.22,0.01,-0.01,0,0.02,,,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,406.00000000,4.00000000,-4.00000000,0,13.400,,,0,603.87700,31.78300,-31.78300,0,0.20,0.00,0.00,0,0.48,,,0
