pl_name,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim
NGTS-4 b,Published Confirmed,0,1.3373508,0.000008,-0.000008,0,20.6,3,-3,0,0.84,0.01,-0.01,0,0.75,0.02,-0.02,0,,,,
Kepler-305 b,Published Confirmed,0,5.487,,,0,10.5,2.6,-2,0,0.8,0.2,-0.08,0,0.76,0.13,-0.06,0,,,,
Kepler-305 b,Published Confirmed,0,5.487,,,0,7.2,5.4,-3.8,0,0.8,,,0,0.76,,,0,,,,
Kepler-305 c,Published Confirmed,0,8.291,,,0,4.5,8.5,-3.6,0,0.8,,,0,0.76,,,0,,,,
Kepler-305 c,Published Confirmed,0,8.291,,,0,6,2.4,-2.2,0,0.8,0.2,-0.08,0,0.76,0.13,-0.06,0,,,,
OGLE-TR-113 b,Published Confirmed,0,1.43247425,0.00000034,-0.00000034,0,390.9309,63.566,-63.566,0,0.77,0.04,-0.04,0,0.76,0.1,-0.1,0,,,,
HAT-P-18 b,Published Confirmed,0,5.508023,0.000006,-0.000006,0,62.61,4.132,-4.132,0,0.75,0.04,-0.04,0,0.77,0.03,-0.03,0,12.4,4.4,-6.4,0
HAT-P-18 b,Published Confirmed,0,5.508023,0.000006,-0.000006,0,63.566,6.03877,-6.03877,0,0.75,0.04,-0.04,0,0.77,0.03,-0.03,0,12.4,1.4,-6.4,0
LTT 9779 b,Published Confirmed,0,0.792052,0.0000093,-0.0000093,0,29.32,0.78,-0.81,0,0.95,0.01,-0.01,0,0.77,0.29,-0.21,0,1.9,1.7,-1.2,0
NGTS-6 b,Published Confirmed,0,0.882059,0.0000008,-0.0000008,0,425.57437,8.89924,-8.89924,0,0.75,0.01,-0.01,0,0.77,0.03,-0.03,0,9.77,0.25,-0.54,0
OGLE-TR-113 b,Published Confirmed,0,1.4325,,,0,429.0705,69.9226,-69.9226,0,0.77,0.03,-0.03,0,0.77,0.06,-0.06,0,,,,
OGLE-TR-113 b,Published Confirmed,0,1.4324757,0.0000013,-0.0000013,0,394.1092,54.0311,-54.0311,0,0.78,0.03,-0.03,0,0.77,0.05,-0.05,0,,,,
WASP-29 b,Published Confirmed,0,3.92273,0.000004,-0.000004,0,73.1009,15.8915,-15.8915,0,0.79,0.07,-0.07,0,0.77,0.25,-0.25,0,,,,
HAT-P-36 b,Published Confirmed,0,1.32735,0.000003,-0.000003,0,486.2799,101.7056,-101.7056,0,1,0.09,-0.09,0,0.78,0.25,-0.25,0,,,,
Kepler-272 b,Published Confirmed,0,2.971,,,0,78,93.8,-66.9,0,0.85,,,0,0.78,,,0,,,,
Kepler-272 c,Published Confirmed,0,6.057,,,0,97.8,55.5,-33.9,0,0.85,,,0,0.78,,,0,,,,
Kepler-78 b,Published Confirmed,0,0.355,,,0,1.77,0.24,-0.25,0,0.75,0.01,-0.01,0,0.78,0.03,-0.05,0,,,,
OGLE-TR-113 b,Published Confirmed,0,1.4324752,,,0,400.449,50.851,-50.851,0,0.77,0.02,,0,0.78,0.02,,0,,,,
OGLE-TR-113 b,Published Confirmed,0,1.4324757,0.0000013,-0.0000013,0,419.5356,60.3877,-60.3877,0,0.77,0.02,-0.02,0,0.78,0.02,-0.02,0,,,,
OGLE-TR-113 b,Published Confirmed,0,1.43247425,0.00000034,-0.00000034,0,432.2488,50.8528,-47.6745,0,0.77,0.02,-0.01,0,0.78,0.02,-0.01,0,13.2,0.8,-2.4,0
WASP-183 b,Published Confirmed,0,4.1117771,0.0000051,-0.0000051,0,159.55066,14.93801,-14.93801,0,0.87,0.04,-0.04,0,0.78,0.04,-0.04,0,14.9,1.7,-1.7,0
WASP-23 b,Published Confirmed,0,2.9444256,0.0000011,-0.0000013,0,280.95,27.968,-31.464,0,0.77,0.05,,0,0.78,0.13,,0,,,,
WASP-23 b,Published Confirmed,0,2.94443,0.0000011,-0.0000011,0,279.37257,30.19385,-31.783,0,0.77,0.03,-0.05,0,0.78,0.13,-0.12,0,6.2,5.6,-2.5,0
HD 189733 b,Published Confirmed,0,2.21857567,0.00000015,-0.00000015,0,359.1479,25.4264,-25.4264,0,0.75,0.01,-0.01,0,0.79,0.08,-0.08,0,,,,
