pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
HD 125271 b,HD 125271,1,1,0,14901.99295308,3707.63683366,-3025.64091374,0,12.400,,,0,3514.14627,549.00472,-447.12024,0,0.75,0.05,-0.05,0,0.75,0.09,-0.09,0
K2-47 b,K2-47,1,1,0,31.63720000,0.00880000,-0.00880000,0,1.890,0.260,-0.260,0,4.23000,,,0,0.76,0.03,-0.03,0,0.75,0.02,-0.02,0
Kepler-1697 b,Kepler-1697,1,1,0,33.49690000,,,0,1.260,,,0,2.12000,,,0,0.77,0.06,-0.07,0,0.75,0.10,-0.09,0
Kepler-1907 b,Kepler-1907,1,2,0,5.65245009,,,0,0.870,,,0,0.58900,,,0,0.80,0.09,-0.09,0,0.75,0.11,-0.06,0
Kepler-1907 c,Kepler-1907,1,2,0,14.86390018,,,0,1.155,,,0,1.63000,,,0,0.80,0.09,-0.09,0,0.75,0.11,-0.06,0
NGTS-4 b,NGTS-4,1,1,0,1.33735080,0.00000800,-0.00000800,0,3.180,0.260,-0.260,0,20.60000,3.00000,-3.00000,0,0.84,0.01,-0.01,0,0.75,0.02,-0.02,0
eps Ind A b,eps Ind A,3,1,0,16510.00000000,2100.00000000,-1740.00000000,0,13.100,,,0,1032.94750,123.95370,-206.58950,0,0.78,0.03,-0.08,0,0.75,0.04,-0.04,0
HD 102195 b,HD 102195,1,1,0,4.11377000,0.00056000,-0.00056000,0,14.200,,,0,130.31030,6.35660,-6.35660,0,0.82,0.01,-0.01,0,0.76,0.04,-0.04,0
HD 218566 b,HD 218566,1,1,0,225.70000000,0.40000000,-0.40000000,0,9.320,,,0,63.56600,19.06980,-19.06980,0,0.85,0.04,-0.04,0,0.76,0.32,-0.32,0
HD 85390 b,HD 85390,1,1,0,799.52000000,2.41000000,-2.41000000,0,6.160,,,0,31.46517,3.17830,-3.17830,0,0.80,0.01,-0.01,0,0.76,,,0
HD 99109 b,HD 99109,1,1,0,439.29999000,5.60000000,-5.60000000,0,14.300,,,0,139.84520,25.42640,-25.42640,0,0.98,0.02,-0.02,0,0.76,0.10,-0.10,0
KOI-7913 b,KOI-7913 A,2,1,0,24.27855300,0.00026300,-0.00026300,0,2.340,0.180,-0.180,0,6.08000,,,0,0.79,0.05,-0.05,0,0.76,0.03,-0.03,0
Kepler-1759 b,Kepler-1759,1,1,0,3.72023010,,,0,0.904,,,0,0.67600,,,0,0.80,0.08,-0.09,0,0.76,0.10,-0.06,0
Kepler-1874 b,Kepler-1874,1,1,0,56.57320023,,,0,2.211,,,0,5.52000,,,0,0.78,0.02,-0.04,0,0.76,0.04,-0.03,0
Kepler-1950 b,Kepler-1950,1,1,0,10.77690029,,,0,1.527,,,0,2.95000,,,0,0.85,0.19,-0.13,0,0.76,0.12,-0.05,0
Kepler-239 b,Kepler-239,1,2,0,11.76305100,0.00003400,-0.00003400,0,2.330,0.150,-0.150,0,6.04000,,,0,0.76,0.04,-0.04,0,0.76,0.02,-0.02,0
Kepler-239 c,Kepler-239,1,2,0,56.22809800,0.00058000,-0.00058000,0,2.510,0.420,-0.420,0,6.85000,,,0,0.76,0.04,-0.04,0,0.76,0.02,-0.02,0
Kepler-305 b,Kepler-305,1,4,0,5.48700000,,,0,3.600,0.900,-0.360,0,10.50000,2.60000,-2.00000,0,0.80,0.20,-0.08,0,0.76,0.13,-0.06,0
Kepler-305 c,Kepler-305,1,4,0,8.29100000,,,0,3.300,0.820,-0.330,0,6.00000,2.40000,-2.20000,0,0.80,0.20,-0.08,0,0.76,0.13,-0.06,0
Kepler-444 b,Kepler-444,3,5,0,3.60010530,0.00000830,-0.00000800,0,0.403,0.016,-0.014,0,0.03740,,,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0
Kepler-444 c,Kepler-444,3,5,0,4.54588410,0.00000700,-0.00000710,0,0.497,0.021,-0.017,0,0.07930,,,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0
Kepler-444 d,Kepler-444,3,5,0,6.18939200,0.00001200,-0.00001200,0,0.530,0.022,-0.019,0,0.20000,0.50000,-0.10000,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0
Kepler-444 e,Kepler-444,3,5,0,7.74349300,0.00001700,-0.00001600,0,0.546,0.017,-0.015,0,0.10000,0.20000,-0.10000,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0
Kepler-444 f,Kepler-444,3,5,0,9.74048600,0.00001300,-0.00001300,0,0.741,0.041,-0.040,0,0.33200,,,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0
PDS 70 c,PDS 70,1,2,0,,,,,22.866,6.837,-5.044,0,635.66000,317.83000,-317.83000,0,1.06,0.04,-0.11,0,0.76,0.02,-0.02,0
HAT-P-18 b,HAT-P-18,1,1,0,5.50802300,0.00000600,-0.00000600,0,11.153,0.583,-0.583,0,62.61000,4.13200,-4.13200,0,0.75,0.04,-0.04,0,0.77,0.03,-0.03,0
HD 103949 b,HD 103949,1,1,0,120.87800000,0.44600000,-0.44600000,0,3.350,,,0,11.20000,2.30000,-2.30000,0,0.75,0.02,-0.02,0,0.77,0.04,-0.04,0
HD 13808 b,HD 13808,1,2,0,14.18150000,0.00150000,-0.00150000,0,3.350,,,0,11.20000,1.20000,-0.66000,0,0.78,0.02,-0.02,0,0.77,0.02,-0.02,0
HD 13808 c,HD 13808,1,2,0,53.75300000,0.05000000,-0.08200000,0,3.130,,,0,9.96000,1.80000,-0.96000,0,0.78,0.02,-0.02,0,0.77,0.02,-0.02,0
HD 164604 b,HD 164604,1,1,0,641.47200000,10.12900000,-10.12900000,0,13.400,,,0,635.00000,82.30000,-82.30000,0,0.77,0.01,-0.04,0,0.77,0.04,-0.04,0
HD 190007 b,HD 190007,1,1,0,11.72000000,0.00100000,-0.00100000,0,4.210,,,0,16.46000,1.66000,-1.66000,0,0.79,0.04,-0.04,0,0.77,0.02,-0.02,0
HD 2638 b,HD 2638,3,1,0,3.44420000,0.00020000,-0.00020000,0,14.300,,,0,133.48860,9.53490,-9.53490,0,0.94,0.03,-0.03,0,0.77,0.09,-0.09,0
HD 7199 b,HD 7199,1,1,0,615.00000000,7.00000000,-7.00000000,0,11.100,,,0,85.81410,9.53490,-9.53490,0,0.97,0.02,-0.02,0,0.77,0.09,-0.09,0
Kepler-1794 b,Kepler-1794,1,1,0,9.76298046,,,0,1.794,,,0,3.87000,,,0,0.82,0.08,-0.10,0,0.77,0.09,-0.06,0
Kepler-1808 b,Kepler-1808,1,1,0,23.34040070,,,0,3.025,,,0,9.40000,,,0,0.89,0.22,-0.15,0,0.77,0.12,-0.06,0
Kepler-1834 b,Kepler-1834,1,1,0,4.60301018,,,0,1.459,,,0,2.73000,,,0,0.79,0.03,-0.05,0,0.77,0.05,-0.03,0
Kepler-1840 b,Kepler-1840,1,1,0,131.19000240,,,0,2.778,,,0,8.13000,,,0,0.80,0.03,-0.06,0,0.77,0.05,-0.03,0
Kepler-1853 b,Kepler-1853,1,1,0,48.88819885,,,0,1.519,,,0,2.92000,,,0,0.79,0.03,-0.05,0,0.77,0.05,-0.03,0
Kepler-1926 b,Kepler-1926,1,1,0,42.87770081,,,0,2.315,,,0,5.97000,,,0,0.83,0.13,-0.11,0,0.77,0.11,-0.06,0
Kepler-1945 b,Kepler-1945,1,1,0,6.08003998,,,0,1.289,,,0,2.21000,,,0,0.80,0.07,-0.09,0,0.77,0.09,-0.06,0
Kepler-1959 b,Kepler-1959,1,1,0,6.38669014,,,0,1.143,,,0,1.57000,,,0,0.81,0.08,-0.09,0,0.77,0.10,-0.06,0
LTT 9779 b,LTT 9779,1,1,0,0.79205200,0.00000930,-0.00000930,0,4.720,0.230,-0.230,0,29.32000,0.78000,-0.81000,0,0.95,0.01,-0.01,0,0.77,0.29,-0.21,0
NGTS-6 b,NGTS-6,1,1,0,0.88205900,0.00000080,-0.00000080,0,14.863,1.087,-1.255,0,425.57437,8.89924,-8.89924,0,0.75,0.01,-0.01,0,0.77,0.03,-0.03,0
TOI-216.01,TOI-216,1,2,0,34.52552800,,,0,10.100,0.200,-0.200,0,177.98391,6.35657,-6.35657,0,0.75,0.02,-0.02,0,0.77,0.03,-0.03,0
TOI-216.02,TOI-216,1,2,0,17.16073000,,,0,8.000,3.000,-2.000,0,18.75188,0.63566,-0.63566,0,0.75,0.02,-0.02,0,0.77,0.03,-0.03,0
WASP-29 b,WASP-29,1,1,0,3.92273000,0.00000400,-0.00000400,0,8.631,0.785,-0.785,0,73.10090,15.89150,-15.89150,0,0.79,0.07,-0.07,0,0.77,0.25,-0.25,0
HD 181433 c,HD 181433,1,3,0,962.00000000,15.00000000,-15.00000000,0,14.100,,,0,203.00000,,,0,0.81,0.07,-0.05,0,0.78,,,0
HD 181433 d,HD 181433,1,3,0,2172.00000000,158.00000000,-158.00000000,0,14.200,,,0,171.00000,,,0,0.81,0.07,-0.05,0,0.78,,,0
HD 26965 b,HD 26965,3,1,0,42.37800000,0.01000000,-0.01000000,0,2.840,,,0,8.47000,0.47000,-0.47000,0,0.87,0.17,-0.17,0,0.78,0.08,-0.08,0
HIP 109384 b,HIP 109384,1,1,0,499.48000000,0.32000000,-0.32000000,0,13.500,,,0,495.81480,25.42640,-25.42640,0,0.83,0.02,-0.01,0,0.78,0.06,-0.06,0
HIP 5158 b,HIP 5158,1,2,0,345.72000000,5.37000000,-5.37000000,0,13.600,,,0,451.00000,,,0,0.75,0.06,-0.06,0,0.78,0.02,-0.02,0
HIP 5158 c,HIP 5158,1,2,0,9017.76000000,3180.74000000,-3180.74000000,0,12.200,,,0,4780.16320,3353.10650,-3353.10650,0,0.75,0.05,-0.09,0,0.78,0.12,-0.07,0
