,times_rv_observed,rv_observed,rv_err_observed,times_rv_orbit,rv_orbit,rv_orbit_sum,times_astrometry_observed,ra_observed,dec_observed,ra_err_observed,dec_err_observed,times_astrometry_orbit,ra_orbit,ra_orbit_sum,dec_orbit,dec_orbit_sum
0,3300,-6.944587192436938,0.3,3300.0,[ 0.06015777 -7.17497865],-7.114820873870855,0,-0.00025382429567257083,0.00031013872329230046,6e-05,6e-05,0.0,[ 8.84469492e-09 -2.64812704e-04],-0.0002648038595960354,[3.00431289e-07 3.01689892e-04],0.00030199032314918767
1,3301,-6.82428531385051,0.3,3300.3599359935993,[ 0.06004073 -7.17764855],-7.11760782790775,36,-0.00010334446169594773,0.0003129915990739273,6e-05,6e-05,0.3564356435643564,[ 1.01397034e-08 -2.64589157e-04],-0.0002645790175921072,[3.00319180e-07 3.01766959e-04],0.00030206727792139975
2,3302,-7.2055740542179665,0.3,3300.7198719871985,[ 0.05992133 -7.18031682],-7.1203954912995036,72,-0.00018563008337385125,0.00028110236955132095,6e-05,6e-05,0.7128712871287128,[ 1.14343332e-08 -2.64365531e-04],-0.0002643540970623667,[3.00195856e-07 3.01843936e-04],0.00030214413148619705
3,3303,-6.954359370783438,0.3,3301.0798079807983,[ 0.05979958 -7.18298344],-7.123183860079857,108,-0.00024096545709460852,0.0003177330300445224,6e-05,6e-05,1.0693069306930694,[ 1.27285359e-08 -2.64141827e-04],-0.0002641290981176026,[3.00061316e-07 3.01920823e-04],0.00030222088381684525
4,3304,-6.9066110338699005,0.3,3301.4397439743975,[ 0.05967549 -7.18564842],-7.1259729301859425,144,-0.0001395702110905873,0.00038974651318414633,6e-05,6e-05,1.4257425742574257,[ 1.40222628e-08 -2.63918043e-04],-0.0002639040208686523,[2.99915564e-07 3.01997619e-04],0.00030229753488705276
5,3305,-7.295543811238134,0.3,3301.799679967997,[ 0.05954905 -7.18831175],-7.128762697458176,180,-0.00014078291629737952,0.0004576103193516336,6e-05,6e-05,1.782178217821782,[ 1.53154657e-08 -2.63694181e-04],-0.0002636788654263962,[2.99758601e-07 3.02074326e-04],0.00030237408467097314
6,3306,-7.064353545786153,0.3,3302.159615961596,[ 0.05942027 -7.19097343],-7.131553157640186,216,-0.00023839476653633707,0.0003736547104038977,6e-05,6e-05,2.1386138613861387,[ 1.66080958e-08 -2.63470240e-04],-0.00026345363190175843,[2.99590429e-07 3.02150943e-04],0.00030245053314320374
7,3307,-7.246611188047783,0.3,3302.5195519551953,[ 0.05928916 -7.19363347],-7.134344306378702,252,-0.00015633065926504727,0.00029367038259041974,6e-05,6e-05,2.495049504950495,[ 1.79001047e-08 -2.63246221e-04],-0.00026322832040570447,[2.99411052e-07 3.02227469e-04],0.0003025268802787874
8,3308,-7.493444534732663,0.3,3302.879487948795,[ 0.05915572 -7.19629186],-7.13713613922348,288,-4.4809392797758327e-05,0.0003352843013570734,6e-05,6e-05,2.8514851485148514,[ 1.91914439e-08 -2.63022122e-04],-0.0002630029310492372,[2.99220472e-07 3.02303906e-04],0.0003026031260532118
9,3309,-7.410920966694627,0.3,3303.2394239423943,[ 0.05901994 -7.1989486 ],-7.139928651627216,324,-1.2637042827140994e-05,0.0003223430848928574,6e-05,6e-05,3.2079207920792077,[ 2.04820649e-08 -2.62797946e-04],-0.00026277746394339977,[2.99018693e-07 3.02380252e-04],0.00030267927044241063
10,3310,-6.87064593967395,0.3,3303.5993599359936,[ 0.05888185 -7.20160368],-7.142721838945462,360,-4.224180938469968e-05,0.00029119560443923207,6e-05,6e-05,3.564356435643564,[ 2.17719191e-08 -2.62573691e-04],-0.0002625519191992684,[2.98805720e-07 3.02456508e-04],0.0003027553134227638
11,3311,-7.124565687670422,0.3,3303.959295929593,[ 0.05874143 -7.20425712],-7.145515696436577,396,-3.11384219670509e-05,0.0002723675260083759,6e-05,6e-05,3.9207920792079207,[ 2.30609579e-08 -2.62349358e-04],-0.00026232629692795516,[2.98581558e-07 3.02532673e-04],0.0003028312549710974
12,3312,-7.172850739920333,0.3,3304.319231923192,[ 0.05859869 -7.20690891],-7.148310219261632,432,7.394817957056884e-05,0.00033031087922159137,6e-05,6e-05,4.2772277227722775,[ 2.43491328e-08 -2.62124946e-04],-0.0002621005972406024,[2.98346210e-07 3.02608749e-04],0.0003029070950646849
13,3313,-6.8474870845198925,0.3,3304.679167916792,[ 0.05845364 -7.20955905],-7.151105402484373,468,5.2872249675706614e-05,0.0003804389578217928,6e-05,6e-05,4.633663366336633,[ 2.56363954e-08 -2.61900457e-04],-0.0002618748202483844,[2.98099683e-07 3.02684734e-04],0.00030298283368124647
14,3314,-7.21882963987857,0.3,3305.039103910391,[ 0.05830629 -7.21220753],-7.153901241071125,504,2.2965814627451265e-05,0.00026909973052495966,6e-05,6e-05,4.99009900990099,[ 2.69226970e-08 -2.61675889e-04],-0.0002616489660625025,[2.97841982e-07 3.02760629e-04],0.00030305847079895054
15,3315,-7.019589534471506,0.3,3305.3990399039903,[ 0.05815663 -7.21485436],-7.156697729890776,540,6.3531081295608454e-06,0.0002747016466925919,6e-05,6e-05,5.346534653465346,[ 2.82079891e-08 -2.61451243e-04],-0.0002614230347941847,[2.97573113e-07 3.02836433e-04],0.0003031340063964128
16,3316,-7.1547121664314055,0.3,3305.7589758975896,[ 0.05800467 -7.21749953],-7.159494863714725,576,0.00012536988810413305,0.0002474932013992534,6e-05,6e-05,5.702970297029703,[ 2.94922233e-08 -2.61226519e-04],-0.0002611970265546846,[2.97293084e-07 3.02912147e-04],0.00030320944045269724
17,3317,-6.909876548174963,0.3,3306.1189118911893,[ 0.05785041 -7.22014305],-7.162292637216802,612,0.00020383756486113156,0.00034864498375529853,6e-05,6e-05,6.0594059405940595,[ 3.07753510e-08 -2.61001717e-04],-0.0002609709414552775,[2.97001901e-07 3.02987771e-04],0.00030328477294731663
18,3318,-7.7748570471586795,0.3,3306.4788478847886,[ 0.05769386 -7.22278491],-7.1650910449732725,648,0.0002921031823223606,0.00030951567007537567,6e-05,6e-05,6.415841584158415,[ 3.20573238e-08 -2.60776837e-04],-0.00026074477960726084,[2.96699572e-07 3.03063304e-04],0.00030336000386023187
